slug	name	category	url
2f-7-jetstream-insulated-ws-muff	2F.7 Jetstream Insulated WS Muff	accessory	https://www.sitkagear.com/products/2f-7-jetstream-insulated-ws-muff
alpha-fleece-1-4-zip-pullover	Alpha Fleece 1/4 Zip Pullover	midlayer	https://www.sitkagear.com/products/alpha-fleece-1-4-zip-pullover
alpha-fleece-hooded-jacket	Alpha Fleece Hooded Jacket	jacket	https://www.sitkagear.com/products/alpha-fleece-hooded-jacket
alpha-fleece-hoodie	Alpha Fleece Hoodie	hoody	https://www.sitkagear.com/products/alpha-fleece-hoodie
alpha-fleece-pant	Alpha Fleece Pant	pant	https://www.sitkagear.com/products/alpha-fleece-pant
alpha-fleece-vest	Alpha Fleece Vest	vest	https://www.sitkagear.com/products/alpha-fleece-vest
ambary-ls-shirt	Ambary LS Shirt	shirt	https://www.sitkagear.com/products/ambary-ls-shirt
ambary-ss-shirt	Ambary SS Shirt	shirt	https://www.sitkagear.com/products/ambary-ss-shirt
ambient-100-hooded-jacket	Ambient 100 Hooded Jacket	jacket	https://www.sitkagear.com/products/ambient-100-hooded-jacket
ambient-100-shirt-jacket	Ambient 100 Shirt Jacket	jacket	https://www.sitkagear.com/products/ambient-100-shirt-jacket
ambient-100-vest	Ambient 100 Vest	vest	https://www.sitkagear.com/products/ambient-100-vest
ambient-200-jacket	Ambient 200 Jacket	jacket	https://www.sitkagear.com/products/ambient-200-jacket
ambient-75-hoodie	Ambient 75 Hoodie	midlayer	https://www.sitkagear.com/products/ambient-75-hoodie
amphib-short-7-5-inch	Amphib Short 7.5"	pant	https://www.sitkagear.com/products/amphib-short-7-5-inch
apex-pack	Apex Pack	pack	https://www.sitkagear.com/products/apex-pack
ascent-pant	Ascent Pant	pant	https://www.sitkagear.com/products/ascent-pant
ashland-lightweight-flannel-shirt	Ashland Lightweight Flannel Shirt	shirt	https://www.sitkagear.com/products/ashland-lightweight-flannel-shirt
back40-boot	Back40 Boot	boot	https://www.sitkagear.com/products/back40-boot
ballistic-cap	Ballistic Cap	hat	https://www.sitkagear.com/products/ballistic-cap
blizzard-gtx-glove	Blizzard GTX Glove	glove	https://www.sitkagear.com/products/blizzard-gtx-glove
blizzard-gtx-hat	Blizzard GTX Hat	hat	https://www.sitkagear.com/products/blizzard-gtx-hat
blizzard-pro-bib	Blizzard Pro Bib	bib	https://www.sitkagear.com/products/blizzard-pro-bib
blizzard-pro-gtx-glove	Blizzard Pro GTX Glove	glove	https://www.sitkagear.com/products/blizzard-pro-gtx-glove
blizzard-pro-parka	Blizzard Pro Parka	jacket	https://www.sitkagear.com/products/blizzard-pro-parka
bluff-berber-jacket	Bluff Berber Jacket	jacket	https://www.sitkagear.com/products/bluff-berber-jacket
boundary-short-7	Boundary Short 7"	pant	https://www.sitkagear.com/products/boundary-short-7
bow-sling	Bow Sling	accessory	https://www.sitkagear.com/products/bow-sling
bridger-camo-ls-flannel	Bridger Camo LS Flannel	shirt	https://www.sitkagear.com/products/bridger-camo-ls-flannel
callers-glove-left	Callers Glove (Left)	glove	https://www.sitkagear.com/products/callers-glove-left
cargo-box	Cargo Box	pack	https://www.sitkagear.com/products/cargo-box
cat-5-bib	Cat 5 Bib	bib	https://www.sitkagear.com/products/cat-5-bib
cat-5-jacket	Cat 5 Jacket	jacket	https://www.sitkagear.com/products/cat-5-jacket
cat-5-pro-gtx-bib	Cat 5 Pro GTX Bib	bib	https://www.sitkagear.com/products/cat-5-pro-gtx-bib
cat-5-pro-gtx-jacket	Cat 5 Pro GTX Jacket	jacket	https://www.sitkagear.com/products/cat-5-pro-gtx-jacket
core-heavyweight-balaclava	Core Heavyweight Balaclava	balaclava	https://www.sitkagear.com/products/core-heavyweight-balaclava
core-lightweight-bottom	Core Lightweight Bottom	baselayer-bottom	https://www.sitkagear.com/products/core-lightweight-bottom
core-lightweight-boxer	Core Lightweight Boxer	baselayer-bottom	https://www.sitkagear.com/products/core-lightweight-boxer
core-lightweight-crew-ls	Core Lightweight Crew LS	baselayer-top	https://www.sitkagear.com/products/core-lightweight-crew-ls
core-lightweight-crew-ss	Core Lightweight Crew SS	baselayer-top	https://www.sitkagear.com/products/core-lightweight-crew-ss
core-lightweight-hoodie	Core Lightweight Hoodie	baselayer-top	https://www.sitkagear.com/products/core-lightweight-hoodie
core-merino-120-bottom	Core Merino 120 Bottom	baselayer-bottom	https://www.sitkagear.com/products/core-merino-120-bottom
core-merino-120-hoodie	Core Merino 120 Hoodie	baselayer-top	https://www.sitkagear.com/products/core-merino-120-hoodie
core-merino-120-ls-crew	Core Merino 120 LS Crew	baselayer-top	https://www.sitkagear.com/products/core-merino-120-ls-crew
core-merino-220-bottom	Core Merino 220 Bottom	baselayer-bottom	https://www.sitkagear.com/products/core-merino-220-bottom
core-merino-220-boxer	Core Merino 220 Boxer	baselayer-bottom	https://www.sitkagear.com/products/core-merino-220-boxer
core-merino-220-half-zip	Core Merino 220 Half-Zip	baselayer-top	https://www.sitkagear.com/products/core-merino-220-half-zip
core-merino-330-bottom	Core Merino 330 Bottom	baselayer-bottom	https://www.sitkagear.com/products/core-merino-330-bottom
core-merino-330-half-zip	Core Merino 330 Half-Zip	baselayer-top	https://www.sitkagear.com/products/core-merino-330-half-zip
core-merino-330-hoodie	Core Merino 330 Hoodie	baselayer-top	https://www.sitkagear.com/products/core-merino-330-hoodie
core-merino-330-zip-off-bottom	Core Merino 330 Zip-Off Bottom	baselayer-bottom	https://www.sitkagear.com/products/core-merino-330-zip-off-bottom
core-midweight-bottom	Core Midweight Bottom	baselayer-bottom	https://www.sitkagear.com/products/core-midweight-bottom
core-neck-gaiter	Core Neck Gaiter	gaiter	https://www.sitkagear.com/products/core-neck-gaiter
crosscurrent-gtx-wader	Crosscurrent GTX Wader	wader	https://www.sitkagear.com/products/crosscurrent-gtx-wader
